# Epoch Name                     JD                 Elevation T225  RMS      Steve_offset_x       Steve_offset_y      Cal_f              Cal_f_err             JCMT_Offset_x JCMT_offset_y XC5_offset_x          XC5_Offset_x_err XC5_offset_y         XC5_Offset_y_err XC7_offset_x         XC7_Offset_x_err   XC7_offset_y         XC7_Offset_y_err   XC9_offset_x         XC9_Offset_x_err   XC9_offset_y         XC9_Offset_y_err   XC11_offset_x         XC11_Offset_x_err   XC11_offset_y         XC11_Offset_y_err   BA5               BA5_err            MA5                 MA5_err            BA7               BA7_err            MA7                 MA7_err            BA9               BA9_err            MA9                MA9_err            BA11              BA11_err           MA11               MA11_err           AC5_amp           AC5_amp_err AC5_sig_x          AC5_sig_x_err AC5_sig_y          AC5_sig_y_err AC5_theta          AC5_theta_err AC7_amp           AC7_amp_err        AC7_sig_x          AC7_sig_x_err       AC7_sig_y          AC7_sig_y_err       AC7_theta          AC7_theta_err       AC9_amp           AC9_amp_err       AC9_sig_x          AC9_sig_x_err       AC9_sig_y          AC9_sig_y_err       AC9_theta          AC9_theta_err       AC11_amp          AC11_amp_err       AC11_sig_x         AC11_sig_x_err      AC11_sig_y         AC11_sig_y_err      AC11_theta         AC11_theta_err     
  1     OMC23_20151226_00036_850 2457382.8616204    62.0      0.109 0.01162  0.0                  0.0                 1.0215580205421393 0.011038462943458014  0.0           0.0           0.0                   -1.0             0.0                  -1.0             0.0                  2.313456338160238  0.0                  2.3686493228610948 0.0                  1.0150261322193783 0.0                  1.0644981135629428 0.0                   0.3289322444899343  0.0                   0.4762762742042078  73546.86338085977 274.0908380599892  -1129.2106143025223 103.59659673666057 73229.53545482192 336.10438185393696 -1008.0182427744983 60.50570226301743  72757.7720530336  396.28580197439686 -905.0811231150683 43.19549454662615  71728.73508721312 453.72461225801754 -761.8612929624944 29.960080070305033 73469.76166322001 -1.0        5.2214644478678345 -1.0          6.423412908381203  -1.0          2.7646228645928437 -1.0          72993.3091026265  582.0819852905912  6.879545306726226  0.38641018154179946 5.454626908763789  0.1979432198739336  1.213767752557005  0.11916696919475431 72221.53213015424 723.5564038718161 7.389226096987607  0.3725840363969314  5.717825885475726  0.18091252770129515 1.228042149224077  0.09465113854353026 71152.96064475719 955.9046015942196  6.008802512218318  0.19795966864050346 7.961380276713649  0.42925834117179335 2.8081063388819327 0.09075500578942085
  2     OMC23_20160116_00019_850 2457403.7694792002 56.0      0.057 0.009248 0.47724017368344057  -2.37968348386719   1.0057105376499758 0.010068892134468233  -1.0          -4.0          -1.0315256461656759   -1.0             -3.7510073819115917  -1.0             -1.0340703453108517  3.6074080603043814 -3.6958153760425034  4.01301199257154   -1.002262298081547   1.3036805922637213 -3.6953782763486345  1.3813476471244188 -1.0452433662462397   0.8603651643828902  -3.71748732242537     0.9348132727129227  78078.55736474776 287.71690651508    -1066.855845242824  108.74674984282825 77866.92278057696 310.46052076459694 -985.2708458598557  55.889278604140806 77441.90716136088 373.70111521783207 -891.1056732194213 40.73374433665309  76522.90698115947 423.2578617873962  -763.5210430142829 27.948317133790912 78025.96203716281 -1.0        6.740158029053627  -1.0          5.53791807724528   -1.0          4.491764412031613  -1.0          77641.94661801432 505.8207716322766  7.135976126752409  0.36574895857023815 5.726398521870874  0.1920874404052755  1.3448105413236142 0.09887454683507454 76963.0260376086  640.0759694867239 5.95799074502574   0.17225550480406765 7.616787775738052  0.34867971285061045 2.9072091957901325 0.07997860219963619 76002.65530285482 867.2789157302459  6.214542405783543  0.1869190888481915  8.152820453875465  0.4006685812810293  6.0391611988329    0.0783683638361773 
  3     OMC23_20160206_00012_850 2457424.6887153015 47.0      0.041 0.01156  1.0974368732480215   -3.8150819696126472 1.0077195789013884 0.006409009339564273  -3.0          -7.0          -2.9019004672754534   -1.0             -6.817972766685386   -1.0             -2.9397258262110313  3.405889067233995  -6.821665798429905   3.6331337815753018 -2.9302229005424465  1.2590593311866047 -6.806261753199152   1.383616067466513  -2.9662402475057377   0.8550860902197334  -6.823427338767715    0.920179108105873   75268.42983748796 308.3615180121282  -1037.5483022128208 116.54969725236445 75115.68134802593 333.35848978850476 -1002.539585455247  60.01138786906893  74646.33521722846 395.5860874492912  -901.4253602129834 43.11922476363088  73654.72718439497 442.25288204366285 -764.0463693804261 29.20258514398129  75262.53991638056 -1.0        5.372539264607912  -1.0          6.61462591034007   -1.0          6.046513607970248  -1.0          74902.4761540034  551.666216154991   6.959892464234205  0.3833879203160164  5.534791563773155  0.1964619029501024  4.47257314802787   0.10297733560328012 74117.38793322683 721.4563671991211 5.805141974539507  0.18721679748826342 7.494702301244191  0.3887935652599476  6.037483295107313  0.08756304472132609 73080.22812150155 945.5758136148746  6.084088762162763  0.20003132511182248 8.060534601296283  0.4394406448661968  2.890036622728017  0.08395821894434094
  4     OMC23_20160229_00011_850 2457447.669282399  59.0      0.043 0.01236  -0.551694907530692   -1.0194051030144877 0.9114885608337652 0.008765934741099242  -1.0          -4.0          -0.9149357018640387   -1.0             -3.540985144242825   -1.0             -0.943075757045392   3.5525392515996885 -3.651966582009777   3.8083252593556693 -1.0041643304954277  1.2780015468410808 -3.6060333711197075  1.4751373071998317 -0.9845339778939888   0.5875817944797966  -3.596952315730249    0.7415299327961273  83739.75393770133 307.50257907965437 -1124.7057764888384 116.22505110644457 83473.65109919183 374.7750615530544  -1007.3402823154827 67.46722073596563  82938.39967720787 438.01722595044254 -887.1874367103588 47.744257206263136 81942.81360289025 499.7184817248461  -749.2467090952043 32.99712043799466  83646.02759622142 -1.0        5.571020287472714  -1.0          7.084444090016081  -1.0          2.7417270878437874 -1.0          83119.79883120659 660.2212888434876  5.861515346359785  0.23947548890295278 7.634067720799259  0.5143361589149347  2.7536368778908606 0.12559395256763234 82301.38488980074 769.6589048337754 6.174694812734843  0.20649762141455957 8.238449526146274  0.4678138476435938  5.904600087389202  0.09494794621716166 81226.30192807411 963.5389869719818  6.506375136312369  0.21380282812779594 8.886619558172386  0.5083162654243553  2.769711483335491  0.08700296470301876
  5     OMC23_20160325_00015_850 2457472.735949099  51.0      0.056 0.01094  4.615651125661402    -4.81958625182221   0.9596143497139786 0.007784448383769177  -2.0          9.0           -2.034180019563962    -1.0             8.70732706739497     -1.0             -2.029855205184276   3.545731126157417  8.47453030281818     4.10175441214033   -2.000371354949607   1.4529273961288869 8.456994470515696    1.6129923045351284 -1.9872920586656733   0.8255607396851538  8.478766456587891     0.8950881740661946  69309.99412017174 197.48734543547067 -1167.9255068749376 74.64319772309466  69018.89240982228 238.44259358187    -1085.605472281794  42.92457318525706  68416.21033838678 282.79494381948336 -955.874721583955  30.82489254569998  67246.3206506652  353.78202272823125 -793.4200057632943 23.36072911929052  69339.19801630531 -1.0        4.993445949821732  -1.0          5.669416583638593  -1.0          5.451054184856915  -1.0          68789.94942400968 729.7848433555105  6.071496492933186  0.32383024507536057 5.265332088779816  0.21920343962885352 4.034282877423481  0.2696901563464954  67903.0733377184  805.7684168288124 6.549298951459939  0.2870185499501624  5.557286952393931  0.18602371794983869 4.102613312922649  0.18167886330060234 66740.51662604604 1026.3631575168415 7.06552449441381   0.32519748589956016 5.857639974169903  0.20181239992459565 0.9956589277352705 0.16064279910227766
  6     OMC23_20160422_00011_850 2457500.7114120014 35.0      0.05  0.01136  3.101173376836198    -4.68538926891084   0.9575790080383347 0.00651652163446756   -7.0          7.0           -7.046217419209199    -1.0             6.86467842024615     -1.0             -7.048538862697427   3.794065440923769  6.7155990819609315   4.129871680582102  -7.021386715080979   1.2630147257582087 6.690648339539109    1.3603191989677799 -7.0311283084981255   0.7732254718716186  6.601653519468016     0.8128251867723548  73162.39767962648 205.64459967074777 -1112.868469975002  77.72636073415683  72966.67688602436 263.6689185480806  -1067.5535074224026 47.465829428451336 72439.89901045007 322.2111816927515  -954.4120581832996 35.121296525297055 71368.66433994581 378.34936001799235 -805.9846491734755 24.982944915406748 73190.9237492751  -1.0        6.029984180242007  -1.0          5.201345907339365  -1.0          4.314974321142864  -1.0          72764.36306267526 598.5628938507024  5.3831847771276315 0.19641245442100444 6.39906795862533   0.3225022931698799  2.776580264888874  0.15418011648124116 71959.62511888209 727.1973122887179 6.85450655180567   0.30152094645134175 5.646167113825704  0.17555122386227198 4.347664634699644  0.11945181529754038 70916.51656654711 946.2612672396381  7.312088369754038  0.33201486061666946 5.914519461807676  0.18733196396363685 4.338296150949821  0.11378382557734201
  7     OMC23_20160826_00020_850 2457627.149050899  52.0      0.106 0.01442  1.044320862792239    -3.7784555289887582 1.0099971463934483 0.012336424766100298  0.0           -5.0          -0.041205391990331464 -1.0             -4.958909654628712   -1.0             -0.08375416955283299 3.578188535106275  -4.9043077647855     3.7803695624616247 -0.08138322473482162 1.2086769172514766 -4.888609347126277   1.2685956993672918 -0.08505918150481762  0.7134434910785932  -4.867264901020178    0.7587833446276293  70531.11239626842 293.3923961145128  -1046.9096240970691 110.89191515713479 70449.20292445966 313.72925637710046 -1026.8705532837635 56.47772295834982  69975.13687191803 375.055293806837   -925.1070724467323 40.88134975745246  68889.65631261964 426.34502608616185 -773.453631413927  28.152167149022567 70570.41687708106 -1.0        6.297970886296709  -1.0          5.178202108150149  -1.0          1.306422439254617  -1.0          70231.4359134201  594.7864416350723  6.572584288561558  0.37128513598101065 5.315681712452699  0.20050996411901753 4.450150758900149  0.11952452620600848 69421.60347647898 753.0165788086748 7.081296455181402  0.36748541415413405 5.577094326104994  0.1865413156644461  1.311021491553051  0.0973329437052976  68302.3744001953  1019.0365506641788 5.864038526083594  0.20916094660953188 7.646067185813237  0.4364135008811459  2.880531952163059  0.09630241984363246
  8     OMC23_20161126_00052_850 2457718.9526851997 63.0      0.062 0.008352 0.4525208988064875   -0.4908831733329374 1.1100753344746055 0.008608570397056642  1.0           1.0           1.112184021538809     -1.0             0.9990044570411101   -1.0             1.1776117630810177   3.968625585323404  1.0153025192044254   4.060399577503718  1.152413255869135    1.4300418359198759 1.0204351577348518   1.4869960477608388 1.132131045789123     0.5953953523661119  1.0299875034785657    0.7110926989679461  75501.75884354266 280.3544691502019  -1157.3195168334687 105.96402598497978 75191.11764654028 354.1139049908464  -1042.105620725065  63.747789003666036 74682.3159209642  417.60464089343344 -930.2704624297498 45.519266614553615 73615.04625543996 477.2138155128817  -782.2940570797094 31.51110534386189  75451.06397371902 -1.0        5.994579830192425  -1.0          5.454859282928177  -1.0          4.1662054077558945 -1.0          74940.57778313672 594.0965263674175  5.4301820037686035 0.193648342584862   6.889908744119122  0.3842277021608163  2.7731395383515984 0.11624831427030431 74128.4639413117  752.3916579441092 7.412475315913604  0.3792069537894218  5.70005661124414   0.1811821498946894  4.35739719228749   0.09448543893594362 73015.87593510128 990.9724987685371  5.998133709451293  0.1984983262664479  7.9911047455350595 0.43608208263614545 5.936144934920704  0.09094227576012849
  9     OMC23_20170206_00021_850 2457790.731446799  60.0      0.115 0.01159  -0.47525025267452026 -2.807297831781333  1.0162574634523651 0.005906064644995517  0.0           -2.0          -0.02537310032340656  -1.0             -1.9828513509710888  -1.0             -0.03025049256993384 3.5089292344500262 -1.9697455475281913  3.663931505287835  -0.03311104885142413 1.2694049875460875 -1.9619548069693167  1.350860765609645  -0.030889770364183278 0.7304954040267145  -1.9429107376751915   0.7510208079615767  73210.80438334205 241.08730204217693 -1127.033297267992  91.1224400614649   72913.6347159312  282.19215987505873 -1008.6807233183563 50.80039249726788  72429.93745272107 343.714028062641   -901.5323704491781 37.46512585512294  71429.00392229467 401.7857347293815  -762.8161510519576 26.530482575761635 73125.97183595058 -1.0        5.307399489087637  -1.0          6.299377873662722  -1.0          2.8318360360932364 -1.0          72671.45762212694 555.7177603546514  6.731470206322967  0.35426141915699727 5.525660755519379  0.1999356468140373  4.40844048817983   0.12747930038519056 71922.53892824007 700.987719676418  5.771816697384673  0.18239183583682725 7.226037331141603  0.34468683759550667 5.980175698922051  0.10082321688541654 70878.95509612239 933.8277225465501  7.787301398552971  0.39969034494551936 6.044091805830201  0.19843403181141683 1.26710140858453   0.09553114692903393
  10    OMC23_20170318_00012_850 2457830.6846528016 64.0      0.102 0.0115   3.158122988996289    -2.6219241336988204 0.9542825264973365 0.004370162969735039  -10.0         5.0           -10.095345982436385   -1.0             4.875366042376953    -1.0             -10.095924138434782  3.4464494559204226 4.867860990629765    3.5638473909862802 -10.11471384978367   1.1949135345476654 4.8646472897493425   1.3046763419116656 -10.124973829776422   0.7176388891779003  4.828181920034297     0.7172892416513944  74632.95483689451 223.64649719630748 -1101.2049494787573 84.53043307555413  74410.27963953173 301.493016279016   -1034.172885468731  54.274946848175006 73910.32886281858 361.45516116032184 -925.2560706456165 39.398925049346914 72870.92946946266 423.01612495321    -781.1347585131156 27.93235531174676  74621.07748153132 -1.0        5.273692609662238  -1.0          6.321248871970917  -1.0          2.693024257505531  -1.0          74177.49820577716 591.5538995259562  6.726849402680137  0.3546348345830138  5.48289177626412   0.19758195572881168 1.1577203233017297 0.13963449130115785 73390.80366414184 726.6046509689334 5.749247411010597  0.17908190850116626 7.216139768342433  0.33747990143354833 2.744871571450091  0.10846926132124748 72350.09297354025 940.8475026103672  7.7239790207831724 0.3734488390533988  6.03024475696024   0.19104592621774616 1.1762491071504932 0.10222799476741763
